#       Tempo      Altitude       Vel rad     Vel theta    Vel lambda    Raio balão
  22.90000000  955.97715927    4.81692987    0.00579304   -0.00096903    1.21806831
  23.00000000  956.45884065    4.81669768    0.00579276   -0.00096907    1.21807411
  23.10000000  956.94049880    4.81646547    0.00579248   -0.00096911    1.21807991
  23.20000000  957.42213374    4.81623326    0.00579220   -0.00096914    1.21808571
  23.30000000  957.90374545    4.81600104    0.00579192   -0.00096918    1.21809150
  23.40000000  958.38533394    4.81576881    0.00579165   -0.00096922    1.21809730
  23.50000000  958.86689921    4.81553656    0.00579137   -0.00096925    1.21810310
  23.60000000  959.34844125    4.81530431    0.00579109   -0.00096929    1.21810890
  23.70000000  959.82996007    4.81507205    0.00579081   -0.00096933    1.21811469
  23.80000000  960.31145565    4.81483977    0.00579053   -0.00096936    1.21812049
  23.90000000  960.79292801    4.81460749    0.00579026   -0.00096940    1.21812629
  24.00000000  961.27437715    4.81437519    0.00578998   -0.00096944    1.21813208
  24.10000000  961.75580305    4.81414289    0.00578970   -0.00096947    1.21813788
  24.20000000  962.23720572    4.81391057    0.00578942   -0.00096951    1.21814368
  24.30000000  962.71858516    4.81367824    0.00578914   -0.00096955    1.21814947
  24.40000000  963.19994136    4.81344591    0.00578887   -0.00096959    1.21815527
  24.50000000  963.68127433    4.81321356    0.00578859   -0.00096962    1.21816106
  24.60000000  964.16258407    4.81298120    0.00578831   -0.00096966    1.21816686
  24.70000000  964.64387057    4.81274883    0.00578803   -0.00096970    1.21817265
  24.80000000  965.12513383    4.81251645    0.00578775   -0.00096973    1.21817845
  24.90000000  965.60637386    4.81228406    0.00578748   -0.00096977    1.21818425
  25.00000000  966.08759064    4.81205166    0.00578720   -0.00096981    1.21819004
  25.10000000  966.56878418    4.81181925    0.00578692   -0.00096984    1.21819584
  25.20000000  967.04995449    4.81158683    0.00578664   -0.00096988    1.21820163
  25.30000000  967.53110155    4.81135440    0.00578636   -0.00096992    1.21820743
  25.40000000  968.01222536    4.81112196    0.00578608   -0.00096996    1.21821322
  25.50000000  968.49332593    4.81088951    0.00578581   -0.00096999    1.21821902
  25.60000000  968.97440326    4.81065705    0.00578553   -0.00097003    1.21822481
  25.70000000  969.45545734    4.81042458    0.00578525   -0.00097007    1.21823061
  25.80000000  969.93648817    4.81019209    0.00578497   -0.00097010    1.21823640
  25.90000000  970.41749575    4.80995960    0.00578469   -0.00097014    1.21824219
  26.00000000  970.89848008    4.80972709    0.00578442   -0.00097018    1.21824799
  26.10000000  971.37944116    4.80949458    0.00578414   -0.00097021    1.21825378
  26.20000000  971.86037899    4.80926206    0.00578386   -0.00097025    1.21825958
  26.30000000  972.34129357    4.80902952    0.00578358   -0.00097029    1.21826537
  26.40000000  972.82218489    4.80879698    0.00578330   -0.00097032    1.21827116
  26.50000000  973.30305296    4.80856442    0.00578302   -0.00097036    1.21827696
  26.60000000  973.78389777    4.80833185    0.00578275   -0.00097040    1.21828275
  26.70000000  974.26471933    4.80809928    0.00578247   -0.00097044    1.21828854
  26.80000000  974.74551762    4.80786669    0.00578219   -0.00097047    1.21829434
  26.90000000  975.22629266    4.80763409    0.00578191   -0.00097051    1.21830013
  27.00000000  975.70704444    4.80740148    0.00578163   -0.00097055    1.21830592
  27.10000000  976.18777295    4.80716886    0.00578135   -0.00097058    1.21831172
  27.20000000  976.66847820    4.80693624    0.00578107   -0.00097062    1.21831751
  27.30000000  977.14916019    4.80670360    0.00578080   -0.00097066    1.21832330
  27.40000000  977.62981892    4.80647095    0.00578052   -0.00097069    1.21832909
  27.50000000  978.11045438    4.80623829    0.00578024   -0.00097073    1.21833489
  27.60000000  978.59106657    4.80600562    0.00577996   -0.00097077    1.21834068
  27.70000000  979.07165550    4.80577293    0.00577968   -0.00097080    1.21834647
  27.80000000  979.55222115    4.80554024    0.00577940   -0.00097084    1.21835226
  27.90000000  980.03276354    4.80530754    0.00577913   -0.00097088    1.21835805
  28.00000000  980.51328266    4.80507483    0.00577885   -0.00097092    1.21836384
  28.10000000  980.99377850    4.80484211    0.00577857   -0.00097095    1.21836964
  28.20000000  981.47425107    4.80460937    0.00577829   -0.00097099    1.21837543
  28.30000000  981.95470037    4.80437663    0.00577801   -0.00097103    1.21838122
  28.40000000  982.43512639    4.80414388    0.00577773   -0.00097106    1.21838701
  28.50000000  982.91552914    4.80391111    0.00577745   -0.00097110    1.21839280
  28.60000000  983.39590861    4.80367834    0.00577718   -0.00097114    1.21839859
  28.70000000  983.87626480    4.80344555    0.00577690   -0.00097117    1.21840438
  28.80000000  984.35659772    4.80321276    0.00577662   -0.00097121    1.21841017
  28.90000000  984.83690735    4.80297995    0.00577634   -0.00097125    1.21841596
  29.00000000  985.31719370    4.80274713    0.00577606   -0.00097129    1.21842175
  29.10000000  985.79745676    4.80251431    0.00577578   -0.00097132    1.21842754
  29.20000000  986.27769655    4.80228147    0.00577550   -0.00097136    1.21843333
  29.30000000  986.75791305    4.80204862    0.00577522   -0.00097140    1.21843912
  29.40000000  987.23810626    4.80181576    0.00577495   -0.00097143    1.21844491
  29.50000000  987.71827620    4.80158289    0.00577467   -0.00097147    1.21845070
  29.60000000  988.19842284    4.80135001    0.00577439   -0.00097151    1.21845649
  29.70000000  988.67854619    4.80111712    0.00577411   -0.00097154    1.21846228
  29.80000000  989.15864626    4.80088422    0.00577383   -0.00097158    1.21846807
  29.90000000  989.63872303    4.80065131    0.00577355   -0.00097162    1.21847386
  30.00000000  990.11877652    4.80041839    0.00577327   -0.00097165    1.21847965
  30.10000000  990.59880671    4.80018546    0.00577299   -0.00097169    1.21848544
  30.20000000  991.07881361    4.79995252    0.00577272   -0.00097173    1.21849123
  30.30000000  991.55879721    4.79971957    0.00577244   -0.00097177    1.21849702
  30.40000000  992.03875751    4.79948661    0.00577216   -0.00097180    1.21850281
  30.50000000  992.51869452    4.79925363    0.00577188   -0.00097184    1.21850860
  30.60000000  992.99860824    4.79902065    0.00577160   -0.00097188    1.21851438
  30.70000000  993.47849865    4.79878766    0.00577132   -0.00097191    1.21852017
  30.80000000  993.95836576    4.79855465    0.00577104   -0.00097195    1.21852596
  30.90000000  994.43820957    4.79832164    0.00577076   -0.00097199    1.21853175
  31.00000000  994.91803008    4.79808861    0.00577048   -0.00097202    1.21853754
  31.10000000  995.39782729    4.79785558    0.00577021   -0.00097206    1.21854332
  31.20000000  995.87760120    4.79762253    0.00576993   -0.00097210    1.21854911
  31.30000000  996.35735179    4.79738948    0.00576965   -0.00097213    1.21855490
  31.40000000  996.83707909    4.79715641    0.00576937   -0.00097217    1.21856069
  31.50000000  997.31678307    4.79692333    0.00576909   -0.00097221    1.21856647
  31.60000000  997.79646375    4.79669024    0.00576881   -0.00097225    1.21857226
  31.70000000  998.27612111    4.79645715    0.00576853   -0.00097228    1.21857805
  31.80000000  998.75575517    4.79622404    0.00576825   -0.00097232    1.21858384
  31.90000000  999.23536592    4.79599092    0.00576797   -0.00097236    1.21858962
  32.00000000  999.71495335    4.79575779    0.00576769   -0.00097239    1.21859541
  32.10000000 1000.19451747    4.79552465    0.00576742   -0.00097243    1.21860120
  32.20000000 1000.67405827    4.79529150    0.00576714   -0.00097247    1.21860698
  32.30000000 1001.15357576    4.79505834    0.00576686   -0.00097250    1.21861277
  32.40000000 1001.63306994    4.79482517    0.00576658   -0.00097254    1.21861855
  32.50000000 1002.11254079    4.79459199    0.00576630   -0.00097258    1.21862434
  32.60000000 1002.59198833    4.79435880    0.00576602   -0.00097261    1.21863013
  32.70000000 1003.07141255    4.79412559    0.00576574   -0.00097265    1.21863591
  32.80000000 1003.55081344    4.79389238    0.00576546   -0.00097269    1.21864170
  32.90000000 1004.03019102    4.79365916    0.00576518   -0.00097273    1.21864748
  33.00000000 1004.50954527    4.79342592    0.00576490   -0.00097276    1.21865327
  33.10000000 1004.98887620    4.79319268    0.00576462   -0.00097280    1.21865905
  33.20000000 1005.46818380    4.79295943    0.00576434   -0.00097284    1.21866484
  33.30000000 1005.94746808    4.79272616    0.00576407   -0.00097287    1.21867062
  33.40000000 1006.42672903    4.79249289    0.00576379   -0.00097291    1.21867641
  33.50000000 1006.90596665    4.79225960    0.00576351   -0.00097295    1.21868219
  33.60000000 1007.38518094    4.79202631    0.00576323   -0.00097298    1.21868798
  33.70000000 1007.86437191    4.79179300    0.00576295   -0.00097302    1.21869376
  33.80000000 1008.34353954    4.79155968    0.00576267   -0.00097306    1.21869955
  33.90000000 1008.82268384    4.79132635    0.00576239   -0.00097309    1.21870533
  34.00000000 1009.30180481    4.79109302    0.00576211   -0.00097313    1.21871112
  34.10000000 1009.78090244    4.79085967    0.00576183   -0.00097317    1.21871690
  34.20000000 1010.25997673    4.79062631    0.00576155   -0.00097321    1.21872268
  34.30000000 1010.73902769    4.79039294    0.00576127   -0.00097324    1.21872847
  34.40000000 1011.21805532    4.79015956    0.00576099   -0.00097328    1.21873425
  34.50000000 1011.69705960    4.78992617    0.00576071   -0.00097332    1.21874004
  34.60000000 1012.17604055    4.78969277    0.00576043   -0.00097335    1.21874582
  34.70000000 1012.65499815    4.78945936    0.00576016   -0.00097339    1.21875160
  34.80000000 1013.13393241    4.78922594    0.00575988   -0.00097343    1.21875739
  34.90000000 1013.61284333    4.78899251    0.00575960   -0.00097346    1.21876317
  35.00000000 1014.09173091    4.78875907    0.00575932   -0.00097350    1.21876895
  35.10000000 1014.57059514    4.78852562    0.00575904   -0.00097354    1.21877473
  35.20000000 1015.04943603    4.78829215    0.00575876   -0.00097357    1.21878052
  35.30000000 1015.52825357    4.78805868    0.00575848   -0.00097361    1.21878630
  35.40000000 1016.00704776    4.78782520    0.00575820   -0.00097365    1.21879208
  35.50000000 1016.48581860    4.78759170    0.00575792   -0.00097369    1.21879786
  35.60000000 1016.96456610    4.78735820    0.00575764   -0.00097372    1.21880365
  35.70000000 1017.44329024    4.78712468    0.00575736   -0.00097376    1.21880943
  35.80000000 1017.92199103    4.78689116    0.00575708   -0.00097380    1.21881521
  35.90000000 1018.40066847    4.78665762    0.00575680   -0.00097383    1.21882099
  36.00000000 1018.87932255    4.78642408    0.00575652   -0.00097387    1.21882677
  36.10000000 1019.35795328    4.78619052    0.00575624   -0.00097391    1.21883256
  36.20000000 1019.83656065    4.78595695    0.00575596   -0.00097394    1.21883834
