#       Tempo      Altitude       Vel rad     Densid    Volume    Raio balão
  25.50000000  968.49332593    4.81088951    1.09890029    7.57293297    1.21821902
  25.60000000  968.97440326    4.81065705    1.09884796    7.57304104    1.21822481
  25.70000000  969.45545734    4.81042458    1.09879563    7.57314910    1.21823061
  25.80000000  969.93648817    4.81019209    1.09874330    7.57325717    1.21823640
  25.90000000  970.41749575    4.80995960    1.09869098    7.57336523    1.21824219
  26.00000000  970.89848008    4.80972709    1.09863866    7.57347329    1.21824799
  26.10000000  971.37944116    4.80949458    1.09858635    7.57358135    1.21825378
  26.20000000  971.86037899    4.80926206    1.09853404    7.57368941    1.21825958
  26.30000000  972.34129357    4.80902952    1.09848174    7.57379746    1.21826537
  26.40000000  972.82218489    4.80879698    1.09842944    7.57390552    1.21827116
  26.50000000  973.30305296    4.80856442    1.09837715    7.57401357    1.21827696
  26.60000000  973.78389777    4.80833185    1.09832486    7.57412163    1.21828275
  26.70000000  974.26471933    4.80809928    1.09827257    7.57422968    1.21828854
  26.80000000  974.74551762    4.80786669    1.09822029    7.57433773    1.21829434
  26.90000000  975.22629266    4.80763409    1.09816802    7.57444578    1.21830013
  27.00000000  975.70704444    4.80740148    1.09811575    7.57455383    1.21830592
  27.10000000  976.18777295    4.80716886    1.09806348    7.57466187    1.21831172
  27.20000000  976.66847820    4.80693624    1.09801122    7.57476992    1.21831751
  27.30000000  977.14916019    4.80670360    1.09795896    7.57487796    1.21832330
  27.40000000  977.62981892    4.80647095    1.09790671    7.57498601    1.21832909
  27.50000000  978.11045438    4.80623829    1.09785446    7.57509405    1.21833489
  27.60000000  978.59106657    4.80600562    1.09780222    7.57520209    1.21834068
  27.70000000  979.07165550    4.80577293    1.09774998    7.57531013    1.21834647
  27.80000000  979.55222115    4.80554024    1.09769774    7.57541816    1.21835226
  27.90000000  980.03276354    4.80530754    1.09764552    7.57552620    1.21835805
  28.00000000  980.51328266    4.80507483    1.09759329    7.57563424    1.21836384
  28.10000000  980.99377850    4.80484211    1.09754107    7.57574227    1.21836964
  28.20000000  981.47425107    4.80460937    1.09748885    7.57585030    1.21837543
  28.30000000  981.95470037    4.80437663    1.09743664    7.57595833    1.21838122
  28.40000000  982.43512639    4.80414388    1.09738444    7.57606636    1.21838701
  28.50000000  982.91552914    4.80391111    1.09733224    7.57617439    1.21839280
  28.60000000  983.39590861    4.80367834    1.09728004    7.57628242    1.21839859
  28.70000000  983.87626480    4.80344555    1.09722785    7.57639045    1.21840438
  28.80000000  984.35659772    4.80321276    1.09717566    7.57649847    1.21841017
  28.90000000  984.83690735    4.80297995    1.09712348    7.57660649    1.21841596
  29.00000000  985.31719370    4.80274713    1.09707130    7.57671452    1.21842175
  29.10000000  985.79745676    4.80251431    1.09701912    7.57682254    1.21842754
  29.20000000  986.27769655    4.80228147    1.09696695    7.57693056    1.21843333
  29.30000000  986.75791305    4.80204862    1.09691479    7.57703858    1.21843912
  29.40000000  987.23810626    4.80181576    1.09686263    7.57714659    1.21844491
  29.50000000  987.71827620    4.80158289    1.09681047    7.57725461    1.21845070
  29.60000000  988.19842284    4.80135001    1.09675832    7.57736262    1.21845649
  29.70000000  988.67854619    4.80111712    1.09670617    7.57747064    1.21846228
  29.80000000  989.15864626    4.80088422    1.09665403    7.57757865    1.21846807
  29.90000000  989.63872303    4.80065131    1.09660190    7.57768666    1.21847386
  30.00000000  990.11877652    4.80041839    1.09654976    7.57779467    1.21847965
  30.10000000  990.59880671    4.80018546    1.09649764    7.57790268    1.21848544
  30.20000000  991.07881361    4.79995252    1.09644551    7.57801068    1.21849123
  30.30000000  991.55879721    4.79971957    1.09639339    7.57811869    1.21849702
  30.40000000  992.03875751    4.79948661    1.09634128    7.57822669    1.21850281
  30.50000000  992.51869452    4.79925363    1.09628917    7.57833470    1.21850860
  30.60000000  992.99860824    4.79902065    1.09623706    7.57844270    1.21851438
  30.70000000  993.47849865    4.79878766    1.09618496    7.57855070    1.21852017
  30.80000000  993.95836576    4.79855465    1.09613287    7.57865870    1.21852596
  30.90000000  994.43820957    4.79832164    1.09608078    7.57876670    1.21853175
  31.00000000  994.91803008    4.79808861    1.09602869    7.57887469    1.21853754
  31.10000000  995.39782729    4.79785558    1.09597661    7.57898269    1.21854332
  31.20000000  995.87760120    4.79762253    1.09592453    7.57909068    1.21854911
  31.30000000  996.35735179    4.79738948    1.09587246    7.57919868    1.21855490
  31.40000000  996.83707909    4.79715641    1.09582039    7.57930667    1.21856069
  31.50000000  997.31678307    4.79692333    1.09576833    7.57941466    1.21856647
  31.60000000  997.79646375    4.79669024    1.09571627    7.57952265    1.21857226
  31.70000000  998.27612111    4.79645715    1.09566421    7.57963063    1.21857805
  31.80000000  998.75575517    4.79622404    1.09561216    7.57973862    1.21858384
  31.90000000  999.23536592    4.79599092    1.09556012    7.57984660    1.21858962
  32.00000000  999.71495335    4.79575779    1.09550808    7.57995459    1.21859541
  32.10000000 1000.19451747    4.79552465    1.09545604    7.58006257    1.21860120
